band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",92,31466.666666666668,4.45424
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",93,31700.0,3.523998
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",94,31933.333333333336,4.700241
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",95,32166.666666666668,4.248781
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",96,32400.0,3.141308
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",97,32633.333333333336,1.649503
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",98,32866.66666666667,2.9113
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",99,33100.0,3.325119
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",100,33333.333333333336,3.946256
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",101,33566.66666666667,1.611366
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",102,33800.0,4.428939
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",103,34033.333333333336,4.19095
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",104,34266.66666666667,2.237653
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",105,34500.0,2.161789
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",106,34733.333333333336,2.461338
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",107,34966.66666666667,2.461338
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",108,35200.0,1.529808
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",109,35433.333333333336,4.428939
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",110,35666.66666666667,2.461338
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",111,35900.0,2.461338
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",112,36133.333333333336,1.851549
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",113,36366.66666666667,2.312861
